roll_number,student_name,programme,department,batch,section,course_code,course_name,semester,academic_year,total_marks,grade,grade_point,result_status
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS204,Course CS204,6,2025-26,82.0,A+,9.0,PASS
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS205,Course CS205,6,2025-26,82.0,A+,9.0,PASS
25CSB001,Student B1,B.Tech,Computer Science & Engineering,2025,B,CS206,Course CS206,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS204,Course CS204,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS205,Course CS205,6,2025-26,82.0,A+,9.0,PASS
25CSB002,Student B2,B.Tech,Computer Science & Engineering,2025,B,CS206,Course CS206,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS204,Course CS204,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS205,Course CS205,6,2025-26,82.0,A+,9.0,PASS
25CSB003,Student B3,B.Tech,Computer Science & Engineering,2025,B,CS206,Course CS206,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS204,Course CS204,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS205,Course CS205,6,2025-26,82.0,A+,9.0,PASS
25CSB004,Student B4,B.Tech,Computer Science & Engineering,2025,B,CS206,Course CS206,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS204,Course CS204,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS205,Course CS205,6,2025-26,82.0,A+,9.0,PASS
25CSB005,Student B5,B.Tech,Computer Science & Engineering,2025,B,CS206,Course CS206,6,2025-26,82.0,A+,9.0,PASS
25CSB006,Student B6,B.Tech,Computer Science & Engineering,2025,B,CS201,Course CS201,6,2025-26,82.0,A+,9.0,PASS
25CSB006,Student B6,B.Tech,Computer Science & Engineering,2025,B,CS202,Course CS202,6,2025-26,82.0,A+,9.0,PASS
25CSB006,Student B6,B.Tech,Computer Science & Engineering,2025,B,CS203,Course CS203,6,2025-26,82.0,A+,9.0,PASS
